"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 18:57:31 CST 2023","Mon Jun 26 18:57:31 CST 2023","123","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01028_""滤镜包：id"":2组数据比较"
"passed","Mon Jun 26 18:57:04 CST 2023","Mon Jun 26 18:57:04 CST 2023","95","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(pt_PT)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(pt_PT).TestDispatcher#test_api","00982_""老UI滤镜分类：是否展示在面板上"":2组数据比较"
"passed","Mon Jun 26 18:53:02 CST 2023","Mon Jun 26 18:53:02 CST 2023","109","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(英文语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(英文语言环境).TestDispatcher#test_api","00115_""滤镜包：id"":2组数据比较"
"passed","Mon Jun 26 18:56:13 CST 2023","Mon Jun 26 18:56:13 CST 2023","94","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(in_）","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(in_）.TestDispatcher#test_api","00758_""分类是否强制刷新"":2组数据比较"
"passed","Mon Jun 26 18:56:24 CST 2023","Mon Jun 26 18:56:25 CST 2023","1101","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(es_)","TestDispatcher","","","https://cdn-bm.camera360.com/api/product/query","00832_Response data获取"
"passed","Mon Jun 26 18:55:02 CST 2023","Mon Jun 26 18:55:02 CST 2023","103","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(th_TH语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(th_TH语言环境).TestDispatcher#test_api","00503_""新UI滤镜分类：名称"":2组数据比较"
"broken","Mon Jun 26 18:54:01 CST 2023","Mon Jun 26 18:54:01 CST 2023","83","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(ja_JP语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(ja_JP语言环境).TestDispatcher#test_api","00339_"""":2组数据比较"
"passed","Mon Jun 26 18:53:01 CST 2023","Mon Jun 26 18:53:01 CST 2023","130","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(英文语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(英文语言环境).TestDispatcher#test_api","00106_""子滤镜：icon+json zip包 MD5"":2组数据比较"
"failed","Mon Jun 26 18:57:40 CST 2023","Mon Jun 26 18:57:40 CST 2023","25","TestCase.C360_Android.C360_兼容接口滤镜包","兼容接口滤镜包详情(zh_CN)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.兼容接口滤镜包详情(zh_CN).TestDispatcher#test_api","01097_""上架时间"":2组数据比较"
"passed","Mon Jun 26 18:55:57 CST 2023","Mon Jun 26 18:55:57 CST 2023","125","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(ko_）","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(ko_）.TestDispatcher#test_api","00721_""滤镜包：子滤镜唯一标识符"":2组数据比较"
"passed","Mon Jun 26 18:55:28 CST 2023","Mon Jun 26 18:55:28 CST 2023","105","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(vi_VN)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(vi_VN).TestDispatcher#test_api","00595_"""":2组数据比较"
"passed","Mon Jun 26 18:57:28 CST 2023","Mon Jun 26 18:57:28 CST 2023","159","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01012_""子滤镜： id"":2组数据比较"
"passed","Mon Jun 26 18:53:41 CST 2023","Mon Jun 26 18:53:41 CST 2023","105","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(zh_HK语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(zh_HK语言环境).TestDispatcher#test_api","00283_""滤镜包：封面图(Icon图)"":2组数据比较"
"passed","Mon Jun 26 18:57:42 CST 2023","Mon Jun 26 18:57:42 CST 2023","25","TestCase.C360_Android.C360_兼容接口滤镜包","兼容接口滤镜包详情(zh_CN)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.兼容接口滤镜包详情(zh_CN).TestDispatcher#test_api","01135_""子滤镜标签-id"":2组数据比较"
"passed","Mon Jun 26 18:54:38 CST 2023","Mon Jun 26 18:54:38 CST 2023","93","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(pt_BR语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(pt_BR语言环境).TestDispatcher#test_api","00497_""当前数据版本"":2组数据比较"
"passed","Mon Jun 26 18:57:33 CST 2023","Mon Jun 26 18:57:34 CST 2023","110","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01047_""滤镜包：付费滤信息"":2组数据比较"
"passed","Mon Jun 26 18:57:35 CST 2023","Mon Jun 26 18:57:35 CST 2023","103","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01057_""滤镜包：内容标签"":2组数据比较"
"passed","Mon Jun 26 18:57:37 CST 2023","Mon Jun 26 18:57:37 CST 2023","97","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(tr_TR)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(tr_TR).TestDispatcher#test_api","01075_""服务端时间"":2组数据比较"
"passed","Mon Jun 26 18:53:03 CST 2023","Mon Jun 26 18:53:03 CST 2023","103","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(英文语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(英文语言环境).TestDispatcher#test_api","00120_""滤镜包：下架时间"":2组数据比较"
"passed","Mon Jun 26 18:55:12 CST 2023","Mon Jun 26 18:55:12 CST 2023","110","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(th_TH语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(th_TH语言环境).TestDispatcher#test_api","00571_""老UI滤镜分类：运营排期"":2组数据比较"
"broken","Mon Jun 26 18:54:08 CST 2023","Mon Jun 26 18:54:08 CST 2023","83","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(ja_JP语言环境)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(ja_JP语言环境).TestDispatcher#test_api","00386_""滤镜包：商品ID"":2组数据比较"
"passed","Mon Jun 26 18:56:33 CST 2023","Mon Jun 26 18:56:33 CST 2023","100","TestCase.C360_Android.C360_兼容接口滤镜包","ops兼容下发-滤镜包(es_)","TestDispatcher","","","TestCase.C360_Android.C360_兼容接口滤镜包.ops兼容下发-滤镜包(es_).TestDispatcher#test_api","00836_""新UI滤镜分类：滤镜列表"":2组数据比较"
